type,time,exchange,competitor,odds,backer,layer,stake
Trade,47.12873554229736,0,4,1.1,13,56,15
Trade,47.129032611846924,0,4,1.1,16,59,15
Trade,47.129128217697144,0,4,1.1,12,55,15
Trade,47.1293363571167,0,4,1.1,17,58,15
Trade,47.13158178329468,0,4,1.1,43,59,15
Trade,47.13169455528259,0,4,1.1,14,55,15
Trade,47.1318199634552,0,4,1.1,19,57,15
Trade,47.13343596458435,0,4,1.1,10,56,15
Trade,47.13460659980774,0,4,1.1,15,58,15
Trade,47.1365864276886,0,4,1.1,11,57,15
Trade,47.13726782798767,0,4,1.1,18,55,15
Trade,47.13763666152954,0,4,1.1,13,56,15
Trade,47.137717962265015,0,4,1.1,16,59,15
Trade,47.139217138290405,0,4,1.1,12,58,15
Trade,47.14040684700012,0,4,1.1,17,57,15
Trade,47.14173150062561,0,4,1.1,19,56,15
Trade,47.141923904418945,0,4,1.1,14,55,15
Trade,47.14273977279663,0,4,1.1,31,59,15
Trade,47.143479347229004,0,4,1.1,37,58,15
Trade,47.144108295440674,0,4,1.1,38,57,15
Trade,47.15542030334473,0,4,1.1,35,55,15
Trade,47.15774059295654,0,4,1.1,39,56,15
Trade,47.158194065093994,0,4,1.1,36,57,15
Trade,47.15843486785889,0,4,1.1,33,58,15
Trade,47.159027099609375,0,4,1.1,30,59,15
Trade,47.16173219680786,0,4,1.1,34,56,15
Trade,47.162110328674316,0,4,1.1,32,55,15
Trade,47.16402983665466,0,4,1.1,10,57,15
Trade,47.16414666175842,0,4,1.1,15,59,15
Trade,47.164466857910156,0,4,1.1,11,58,15
Trade,47.165472745895386,0,4,1.1,18,56,15
Trade,47.16696238517761,0,4,1.1,16,55,15
Trade,47.17129564285278,0,4,1.1,13,57,15
Trade,47.172667026519775,0,4,1.1,12,59,15
Trade,47.172993421554565,0,4,1.1,17,56,15
Trade,47.17311692237854,0,4,1.1,46,58,15
Trade,47.173970460891724,0,4,1.1,42,55,15
Trade,47.17506766319275,0,4,1.1,19,57,15
Trade,47.19491672515869,0,4,1.1,14,59,15
Trade,47.19605827331543,0,4,1.1,10,58,15
Trade,47.196574687957764,0,4,1.1,15,55,15
Trade,47.19681453704834,0,4,1.1,11,57,15
Trade,47.20199990272522,0,4,1.1,18,56,15
Trade,47.20249891281128,0,4,1.1,16,59,15
Trade,47.2037718296051,0,4,1.1,13,57,15
Trade,47.20480227470398,0,4,1.1,12,58,15
Trade,47.205119371414185,0,4,1.1,35,55,15
Trade,47.206831216812134,0,4,1.1,30,56,15
Trade,47.21051216125488,0,4,1.1,32,59,15
Trade,47.211880922317505,0,4,1.1,31,58,15
Trade,47.212196826934814,0,4,1.1,33,57,15
Trade,47.213358879089355,0,4,1.1,34,59,15
Trade,47.214152097702026,0,4,1.1,39,55,15
Trade,47.21428060531616,0,4,1.1,36,56,15
Trade,47.217323541641235,0,4,1.1,38,57,15
Trade,47.21740508079529,0,4,1.1,37,58,15
Trade,47.218942642211914,0,4,1.1,17,59,15
Trade,47.21955609321594,0,4,1.1,47,55,15
